lemma	homonym	new_para	pronoun
alin	1	A_PAHIN	Superl
dnro	1	N_RUIPELO	abbreviation
ei-kukaan	1	PRON_KUKAAN	quantor
ei-mikään	1	PRON_MIKÄÄN	quantor
eri	2	PRON_KOKO	quantor
eräs	1	PRON_ERÄS	quantor|indefinite
harva	2	PRON_SAMA	quantor
harvempi	1	PRON_USEAMPI	quantor|comp
he	2	PRON_ME	personal|pl3
Hki	1	N_TYYLI	abbreviation
hlö	1	N_JÄÄTELÖ	abbreviation
hra	1	N_KIRJA	abbreviation
hsto	1	N_TALO	abbreviation
hän	1	PRON_HÄN	personal|sg3
hää	2	PRON_HÄÄ	personal|sg3
itse	2	PRON_ITSE	reflexive
jokainen	1	PRON_JOKAINEN	quantor
joka	1	PRON_JOKA	relative
joka	2	PRON_KOKO	quantor|indefinite
jokin	1	PRON_JOKIN	quantor|indefinite
jokunen	1	PRON_JOKAINEN	quantor
joku	1	PRON_JOKU	quantor|indefinite
jollainen	1	A_AAKKOSELLINEN	relative
jompikumpi	1	PRON_JOMPIKUMPI	quantor|indefinite
jompi	1	PRON_KUMPI	quantor
jonkinlainen	1	A_AAKKOSELLINEN	quantor
kaikki	1	PRON_KAIKKI	quantor
kenkään	1	PRON_MÄÄ	interrogative
ken	1	PRON_MÄÄ	interrogative
khra	1	N_KIRJA	abbreviation
klo	1	N_TALO	abbreviation
kni	1	N_TYYLI	abbreviation
koko	3	PRON_KOKO	quantor
krnro	1	N_RUIPELO	abbreviation
kukaan	1	PRON_KUKAAN	quantor
kukakin	1	PRON_KUKAKIN	quantor
kuka	1	PRON_KUKA	interrogative
kuka	2	PRON_KUKA	quantor
kuka	3	PRON_KUKA	relative
kukin	1	PRON_KUKIN	quantor
kumpainenkin	1	PRON_KOKO	adj
kumpikaan	1	PRON_KUMPIKAAN	quantor
kumpikin	1	PRON_KUMPIKIN	quantor
kumpi	1	PRON_KUMPI	interrogative
kumpi	2	PRON_KUMPI	quantor
lähin	1	A_SISIN	Superl
ma	3	PRON_MA	personal|sg1
me	1	PRON_ME	personal|pl1
mie	1	PRON_MIE	personal|sg1
mikin	1	PRON_MIKIN	quantor
mikäkin	1	PRON_MIKÄKIN	quantor
mikä	1	PRON_MIKÄ	interrogative
mikä	2	PRON_MIKÄ	quantor
mikä	3	PRON_MIKÄ	relative
mikään	1	PRON_MIKÄÄN	quantor
millainen	1	A_AAKKOSELLINEN	interrogative
millainen	2	A_AAKKOSELLINEN	quantor
mimmoinen	1	A_AAKKOSELLINEN	interrogative
minkälainen	1	A_AAKKOSELLINEN	interrogative
minkäslainen	1	A_AAKKOSELLINEN	interrogative
minkäänlainen	1	A_AAKKOSELLINEN	interrogative
minä	1	PRON_MINÄ	personal|sg1
mi	2	PRON_KOKO	interrogative
molemmat	1	PRON_MOLEMMAT	quantor
mones	1	PRON_MONES	quantor
moni	1	PRON_MONI	quantor
monta	1	PRON_MONTA	quantor
muuan	1	PRON_MUUAN	quantor|indefinite
muudan	1	PRON_MUUAN	quantor|indefinite
muu	3	PRON_MUU	quantor
muutama	1	PRON_MUUTAMA	quantor
mä	1	PRON_MÄ	personal|sg1
mää	2	PRON_MÄÄ	personal|sg1
ne	1	PRON_NE	demonstrative
noi	1	PRON_NOI	demonstrative
n:o	1	N_RUIPELO	abbreviation
nro	1	N_RUIPELO	abbreviation
nro	2	PCLE_VAAN	abbreviation
nuo	1	PRON_NUO	demonstrative
nämä	1	PRON_NÄMÄ	demonstrative
paras	1	A_PARAS	Superl
parhain	1	A_PAHIN	Superl
pjsto	1	N_TALO	abbreviation
psto	1	N_TALO	abbreviation
ptri	1	N_KEHVELI	abbreviation
RN:o	1	N_RUIPELO	abbreviation
rva	1	N_VOIMA	abbreviation
samanlainen	1	A_AAKKOSELLINEN	quantor
sama	1	PRON_SAMA	quantor
sa	1	PRON_MA	personal|sg2
sellainen	1	A_AAKKOSELLINEN	demonstrative
semmoinen	1	A_AAKKOSELLINEN	demonstrative
semmonen	1	A_AAKKOSELLINEN	demonstrative
se	1	PRON_SE	demonstrative
sie	1	PRON_MIE	personal|sg2
sinä	1	PRON_MINÄ	personal|sg2
snro	1	N_RUIPELO	abbreviation
srnro	1	N_RUIPELO	abbreviation
sä	1	PRON_MÄ	personal|sg2
sää	2	PRON_MÄÄ	personal|sg2
te	1	PRON_ME	personal|pl2
Tku	1	N_ASU	abbreviation
toinen	3	PRON_TOINEN	quantor
toinen	4	PRON_TOINEN	reciprocal
toi	1	PRON_TOI	demonstrative
tommonen	1	A_AAKKOSELLINEN	demonstrative
Tre	1	N_PISTE	abbreviation
tri	1	N_TYYLI	abbreviation
tsto	1	N_TALO	abbreviation
tuollainen	1	A_AAKKOSELLINEN	demonstrative
tuolloinen	1	A_AAKKOSELLINEN	demonstrative
tuommoinen	1	A_AAKKOSELLINEN	demonstrative
tuo	1	PRON_TUO	demonstrative
tällainen	1	A_AAKKOSELLINEN	demonstrative
tämmöinen	1	A_KYLMÄJÄRKINEN	demonstrative
tämä	1	PRON_TÄMÄ	demonstrative
tää	1	PRON_MÄÄ	demonstrative
uloin	1	A_PAHIN	Superl
useampi	1	PRON_USEAMPI	quantor|comp
usea	2	PRON_USEA	quantor
yksikään	1	PRON_KOKO	quantor
yksi	2	PRON_YKSI	quantor
yks	2	PRON_MÄÄ	quantor
ylin	1	A_SISIN	Superl
yrnro	1	N_RUIPELO	abbreviation
