lemma	homonym	style
´	1	nonstandard
´	2	nonstandard
`	1	nonstandard
`	2	nonstandard
..	1	nonstandard
....	1	nonstandard
'	1	nonstandard
'	2	nonstandard
«	1	nonstandard
«	2	nonstandard
“	1	nonstandard
agregaatti	1	nonstandard
agressiivinen	1	nonstandard
aivankuin	1	nonstandard
aluminium	1	nonstandard
alunperin	1	nonstandard
Azerbaidzan	1	nonstandard
edelläkuvattu	1	nonstandard
eksä	1	dialectal
ennenkun	1	nonstandard
ensimäinen	1	nonstandard
enään	1	nonstandard
eroittaa	1	nonstandard
hajoittaa	1	nonstandard
Herzegovina	1	nonstandard
hox	1	dialectal
häkä	1	nonstandard
hää	2	dialectal
ikäänkuin	1	nonstandard
irroittaa	1	nonstandard
jaksottainen	1	nonstandard
ja/tai	1	nonstandard
ja/vai	1	nonstandard
jokseen	1	nonstandard
jompi	1	nonstandard
jos/kun	1	nonstandard
jäde	1	dialectal
katos	1	dialectal
kauvan	1	nonstandard
kehoittaa	1	nonstandard
kentiesi	1	archaic
keulilla	1	nonstandard
keulille	1	nonstandard
keulilta	1	nonstandard
ko	1	dialectal
kuhan	1	dialectal
kuni	1	nonstandard
levinnäisyys	1	nonstandard
likitse	1	archaic
loppujenlopuksi	1	nonstandard
melkeen	1	dialectal
melkeistä	1	dialectal
mie	1	dialectal
miks	1	dialectal
mitvit	1	nonstandard
mix	1	nonstandard
moduli	1	nonstandard
muudan	1	archaic
myödä	1	dialectal
mä	1	dialectal
mää	2	dialectal
niinkuin	1	nonstandard
niinq	1	nonstandard
niinqu	1	nonstandard
noi	1	dialectal
noni	1	nonstandard
noniin	1	nonstandard
nonni	1	nonstandard
nyksä	1	dialectal
oikee	1	dialectal
oikeen	1	dialectal
oikeesti	1	dialectal
oottaa	1	dialectal
poikitse	1	archaic
rankaista	1	nonstandard
saikku	1	dialectal
sellai	1	dialectal
semma	1	dialectal
semmonen	1	dialectal
sentrifuugi	1	nonstandard
shampanja	1	nonstandard
shamppanja	1	nonstandard
sie	1	dialectal
sikaari	1	archaic
sillai	1	dialectal
sitte	1	nonstandard
sä	1	dialectal
sää	2	dialectal
Tadzikistan	1	nonstandard
Tanzania	1	nonstandard
tietsikka	1	dialectal
toi	1	dialectal
tommonen	1	dialectal
tonne	1	dialectal
Tsekkoslovakia	1	nonstandard
tunnittainen	1	nonstandard
tää	1	dialectal
viikottainen	1	nonstandard
vuottaa	1	dialectal
yhtäsuuri	1	nonstandard
ympäritse	1	archaic
äiti	2	dialectal
