´	['SYMBOL_PISTE']	symbol=final-quote
´	['SYMBOL_PISTE']	symbol=initial-quote
`	['SYMBOL_PISTE']	symbol=final-quote
`	['SYMBOL_PISTE']	symbol=initial-quote
<	['SYMBOL_PISTE']	symbol=initial-bracket
>	['SYMBOL_PISTE']	symbol=final-bracket
-	['SYMBOL_PISTE']	symbol=dash
--	['SYMBOL_PISTE']	symbol=dash
,	['SYMBOL_PISTE']	symbol=clause-boundary
;	['SYMBOL_PISTE']	symbol=clause-boundary
:	['SYMBOL_PISTE']	symbol=clause-boundary
!	['SYMBOL_PISTE','PUNCT_NONSTD_EXCL_LOOP']	symbol=sentence-boundary
?	['SYMBOL_PISTE','PUNCT_NONSTD_EXCL_LOOP']	symbol=sentence-boundary
.	['SYMBOL_PISTE']	symbol=sentence-boundary
..	['SYMBOL_PISTE']	symbol=sentence-boundary
...	['SYMBOL_PISTE']	symbol=sentence-boundary
....	['SYMBOL_PISTE']	symbol=sentence-boundary
'	['SYMBOL_PISTE']	symbol=final-quote
'	['SYMBOL_PISTE']	symbol=initial-quote
’	['SYMBOL_PISTE']	symbol=final-quote
’	['SYMBOL_PISTE']	symbol=initial-quote
"	['SYMBOL_PISTE']	symbol=final-quote
"	['SYMBOL_PISTE']	symbol=initial-quote
”	['SYMBOL_PISTE']	symbol=final-quote
”	['SYMBOL_PISTE']	symbol=initial-quote
»	['SYMBOL_PISTE']	symbol=final-quote
»	['SYMBOL_PISTE']	symbol=initial-quote
(	['SYMBOL_PISTE']	symbol=initial-bracket
)	['SYMBOL_PISTE']	symbol=final-bracket
[	['SYMBOL_PISTE']	symbol=initial-bracket
]	['SYMBOL_PISTE']	symbol=final-bracket
{	['SYMBOL_PISTE']	symbol=initial-bracket
}	['SYMBOL_PISTE']	symbol=final-bracket
–	['SYMBOL_PISTE']	symbol=dash
—	['SYMBOL_PISTE']	symbol=dash
›	['SYMBOL_PISTE']	symbol=final-bracket
‹	['SYMBOL_PISTE']	symbol=initial-bracket
 	['SYMBOL_PISTE']	symbol=space
 	['SYMBOL_PISTE']	symbol=space
